pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
40-40,1-0,0-0,1.0,360619,,,12,1.0,1,Deuce,Ruining Huang,Near,1.0,Wide,-106.6820976,209.953341,,,,,,43.02362751528836,-416.4937609,,,,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,1.0,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,1st Serve In,Wide,
40-40,1-0,0-0,,361630,,,12,1.0,2,Deuce,Ruining Huang,Near,,,,,,,,,,-137.9298556,497.9419073,Down the Line,Backhand,,,,,,,,,,-101.2370407,-252.5863955,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
40-40,1-0,0-0,,363420,,,12,1.0,3,Ad,Ruining Huang,Near,,,,,,,,,,-82.38412073,-497.2331802,Down the Line,Forehand,,,,,,,,,,-68.62043963,284.9368602360732,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
40-40,1-0,0-0,,364850,,,12,1.0,4,Deuce,Ruining Huang,Near,,,,,,,,,,-56.18116251,515.8840004371788,Crosscourt,Backhand,,,,,,,,,,106.6701170165678,-413.0876148,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Deep
40-40,1-0,0-0,,366420,,,12,1.0,5,Deuce,Ruining Huang,Near,,,,,,,,,,115.12841207343132,-518.763692,Crosscourt,Backhand,,,,,,,,,,-52.47060367,303.5310312771835,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
40-40,1-0,0-0,,367820,,,12,1.0,6,Deuce,Ruining Huang,Near,,,,,,,,,,-67.28283027,493.1573491,Crosscourt,Forehand,,,,,,,,,,80.60047572174315,-163.0599245,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,,,,,Short
40-40,1-0,0-0,,369220,,,12,1.0,7,Deuce,Ruining Huang,Near,,,,,,,,,,141.81729002617345,-490.9534285,Crosscourt,Backhand,,,,,,,,,,-56.88518154,425.0138342080044,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Deep
40-40,1-0,0-0,,370549,,,12,1.0,8,Deuce,Ruining Huang,Near,,,,,,,,,,-72.03003062,500.9322561239756,Crosscourt,Forehand,,,,,,,,,,120.30649059486348,-337.2239283,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,,,,,Short
40-40,1-0,0-0,,371950,,,12,1.0,9,Deuce,Ruining Huang,Near,,,,,,,,,,147.7979877514547,-523.2491962,Crosscourt,Backhand,,,,,,,,,,-40.17195429,244.9052274714395,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
40-40,1-0,0-0,,373269,,,12,1.0,10,Deuce,Ruining Huang,Near,,,,,,,,,,-66.12408683,465.04806977228816,Crosscourt,Forehand,,,,,,,,,,89.78460739,-252.5741087,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,,,,,Short
40-40,1-0,0-0,,374779,,,12,1.0,11,Deuce,Ruining Huang,Near,,,,,,,,,,140.69590441812505,-496.0370407,Crosscourt,Backhand,,,,,,,,,,-19.16422244,368.74517169709736,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Deep
40-40,1-0,0-0,,376179,,,12,1.0,12,Deuce,Ruining Huang,Near,,,,,,,,,,-30.18382546,488.37279090088504,Down the Line,Forehand,,,,,,,,,,-110.3803314,-348.6368985,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,1.0,,,,,,Short
40-40,1-0,0-0,,377649,,,12,1.0,13,Ad,Ruining Huang,Near,,,,,,,,,,-128.8092629,-531.3231573,Crosscourt,Forehand,,,,,,,,,,21.499010279953897,304.16006671025406,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
40-40,1-0,0-0,,379779,,,12,1.0,14,Ad,Ruining Huang,Near,,,,,,,,,,70.46008311457427,462.0577209096475,Down the Line,Forehand,,,,,,,,,,120.93326771647295,-415.3321468,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Deep
40-40,1-0,0-0,,381170,,,12,1.0,15,Deuce,Ruining Huang,Near,,,,,,,,,,141.8920439631813,-522.9501804,Crosscourt,Backhand,,,,,,,,,,-38.5196741,301.47948928243386,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
40-40,1-0,0-0,,382850,,,12,1.0,16,Deuce,Ruining Huang,Near,,,,,,,,,,-55.20932305,487.1766513558288,Down the Line,Forehand,,,,,,,,,,-131.4461669,-375.1887084,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,1.0,,,,,,Deep
40-40,1-0,0-0,,384070,,,12,1.0,17,Ad,Ruining Huang,Near,,,,,,,,,,-141.892044,-528.9308782,Crosscourt,Forehand,,,,,,,,,,21.568941382316066,171.35623359571204,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
40-40,1-0,0-0,,385649,1.0,385649.0,12,1.0,18,Ad,Ruining Huang,Near,,,,,,,,,,50.985438538906294,452.48860454919753,Crosscourt,Forehand,,,,,,,,,,-104.1599464,-292.6006124,1.0,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,Gianluca Ballotta,,,,Short
0-0,2-0,0-0,1.0,424320,,,13,,1,Deuce,Gianluca Ballotta,Far,0.0,T,22.35284339456413,22.85774825020691,1.0,Wide,144.8315616797152,-187.1243001,,0.593093832,414.2121391073975,,,,,,,,,,,,,,,,,1.0,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,True,,Ruining Huang,Gianluca Ballotta,,,,,,2nd Serve In,Wide,
0-0,2-0,0-0,,444769,,,13,,2,Deuce,Gianluca Ballotta,Far,,,,,,,,,,201.40000546796247,-481.9823819,Down the Line,Backhand,,,,,,,,,,90.23378171473904,333.2559601923038,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
0-0,2-0,0-0,,445950,,,13,,3,Ad,Gianluca Ballotta,Far,,,,,,,,,,73.56258202095937,518.2762795272913,Crosscourt,Forehand,,,,,,,,,,-55.59220254,-256.9744094,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
0-0,2-0,0-0,,447380,,,13,,4,Ad,Gianluca Ballotta,Far,,,,,,,,,,-94.569778,-498.1302657,Crosscourt,Forehand,,,,,,,,,,57.44581692910418,274.79838145217644,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
0-0,2-0,0-0,,448649,,,13,,5,Ad,Gianluca Ballotta,Far,,,,,,,,,,91.13086723529852,482.9901629481319,Crosscourt,Forehand,,,,,,,,,,-18.06649169,-258.185362,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
0-0,2-0,0-0,,450019,1.0,450019.0,13,,6,Ad,Gianluca Ballotta,Far,,,,,,,,,,-48.36889764,-514.2781496,Crosscourt,Forehand,,,,,,,,,,97.63488079610003,466.0274496935475,,,,,1.0,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Ruining Huang,,,,Gianluca Ballotta,1,,,Long
15-0,2-0,0-0,1.0,466880,,,14,,1,Ad,Gianluca Ballotta,Far,1.0,T,-25.08639545,-202.9211888,,,,,,52.40587817145149,459.66544181953503,,,,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,1st Serve In,T,
15-0,2-0,0-0,,468049,,,14,,2,Ad,Gianluca Ballotta,Far,,,,,,,,,,-87.69199475,-514.8762194,Crosscourt,Backhand,1.0,,,,,,,,,78.98184055114031,436.9447615920752,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,,3,False,,Ruining Huang,Ruining Huang,1.0,,,,,,,Deep
15-0,2-0,0-0,,470119,,,14,,3,Ad,Gianluca Ballotta,Far,,,,,,,,,,84.40259186347345,511.09944225695375,Down the Line,Forehand,,,,,,,,,,110.98410433065132,-380.93125,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Deep
15-0,2-0,0-0,,471420,,,14,,4,Deuce,Gianluca Ballotta,Far,,,,,,,,,,117.59548337701712,-529.8279637,Down the Line,Backhand,,,,,,,,,,35.316125328065745,380.4327373138893,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Deep
15-0,2-0,0-0,,472980,,,14,,5,Ad,Gianluca Ballotta,Far,,,,,,,,,,10.111111111105888,488.37279090088504,Crosscourt,Forehand,,,,,,,,,,-120.9289425,-263.4770068,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
15-0,2-0,0-0,,474470,1.0,474470.0,14,,6,Ad,Gianluca Ballotta,Far,,,,,,,,,,-139.8735728,-465.2364283,Down the Line,Forehand,,,,,,,,,,-162.0442203,-539.2592465,,,1.0,1.0,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Ruining Huang,,,,Gianluca Ballotta,1,,,
30-0,2-0,0-0,1.0,492519,,,15,,1,Deuce,Gianluca Ballotta,Far,1.0,Wide,133.97199256336037,-165.7550087,,,,,,-5.527466098,409.4275809271725,,,1.0,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,1st Serve In,Wide,
30-0,2-0,0-0,,493450,,,15,,2,Deuce,Gianluca Ballotta,Far,,,,,,,,,,171.64602471557188,-432.3425908,Crosscourt,Backhand,,,,,,,,,,-0.636193132,353.4911198598349,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Deep
30-0,2-0,0-0,,494950,,,15,,3,Deuce,Gianluca Ballotta,Far,,,,,,,,,,-24.5769357,499.1380468063912,Down the Line,Forehand,,,,,,,,,,-88.98941382,-321.0972496,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,1.0,,,,,,Short
30-0,2-0,0-0,,496250,,,15,,4,Ad,Gianluca Ballotta,Far,,,,,,,,,,-100.1019138,-538.2009788,Crosscourt,Forehand,,,,,,,,,,77.86286636041471,337.8839293524064,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
30-0,2-0,0-0,,497549,,,15,,5,Ad,Gianluca Ballotta,Far,,,,,,,,,,102.04566929128586,491.9612095360538,Down the Line,Forehand,,,,,,,,,,88.99301181097765,-389.2716918,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Deep
30-0,2-0,0-0,,498959,,,15,,6,Deuce,Gianluca Ballotta,Far,,,,,,,,,,73.52518591422273,-522.9501804,Crosscourt,Backhand,,,,,,,,,,-75.38787183,270.41170713021904,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
30-0,2-0,0-0,,500309,,,15,,7,Deuce,Gianluca Ballotta,Far,,,,,,,,,,-110.7176619,486.57858158330066,Crosscourt,Backhand,,,,,,,,,,77.18254046365217,-356.6949748,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Deep
30-0,2-0,0-0,,501750,,,15,,8,Deuce,Gianluca Ballotta,Far,,,,,,,,,,81.03847331579365,-436.2300634,Down the Line,Backhand,,,,,,,,,,109.82532261586628,261.9994203848166,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
30-0,2-0,0-0,,503350,,,15,,9,Ad,Gianluca Ballotta,Far,,,,,,,,,,87.61720253713759,539.8067913383038,Crosscourt,Forehand,,,,,,,,,,-145.0591153,-332.4430063,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
30-0,2-0,0-0,,504660,,,15,,10,Ad,Gianluca Ballotta,Far,,,,,,,,,,-156.5447725,-502.3167542,Crosscourt,Forehand,,,,,,,,,,93.90070538052892,347.9065452754109,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
30-0,2-0,0-0,,505850,,,15,,11,Ad,Gianluca Ballotta,Far,,,,,,,,,,121.33340988620154,521.2666283899318,Down the Line,Forehand,,,,,,,,,,5.637089895,-384.8512959,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Deep
30-0,2-0,0-0,,506980,,,15,,12,Ad,Gianluca Ballotta,Far,,,,,,,,,,-18.25982612,-519.6607776,Crosscourt,Backhand,,,,,,,,,,16.171194225713432,335.15275043727223,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Ruining Huang,1.0,,,,,,,Short
30-0,2-0,0-0,,508279,1.0,508279.0,15,,13,Ad,Gianluca Ballotta,Far,,,,,,,,,,10.94282042869076,467.44034886240064,Down the Line,Backhand,1.0,,,,,,,,,77.86707677161333,-474.3752789,,,,,1.0,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,,3,False,,Ruining Huang,Gianluca Ballotta,,1.0,,Ruining Huang,1,,,Long
30-15,2-0,0-0,1.0,537880,,,16,,1,Ad,Gianluca Ballotta,Far,1.0,Wide,-126.3548228,-190.5540245,,,,,,47.247512029721875,442.9202919945218,,,1.0,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,1st Serve In,Wide,
30-15,2-0,0-0,,538960,,,16,,2,Ad,Gianluca Ballotta,Far,,,,,,,,,,-188.6910324,-458.059591,Down the Line,Forehand,,,,,,,,,,-0.6131507,333.23391294820937,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
30-15,2-0,0-0,,540359,,,16,,3,Ad,Gianluca Ballotta,Far,,,,,,,,,,27.30562664040584,410.62372047222874,Down the Line,Forehand,,,,,,,,,,82.52819335078851,-323.5982721,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
30-15,2-0,0-0,,541609,,,16,,4,Deuce,Gianluca Ballotta,Far,,,,,,,,,,83.43075240590616,-521.4549869,Crosscourt,Backhand,,,,,,,,,,-66.02694116,260.99539041981274,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
30-15,2-0,0-0,,542950,,,16,,5,Deuce,Gianluca Ballotta,Far,,,,,,,,,,-121.3334099,482.39209317560375,Down the Line,Backhand,,,,,,,,,,-68.11396544,-322.1804735,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
30-15,2-0,0-0,,544280,,,16,,6,Ad,Gianluca Ballotta,Far,,,,,,,,,,-57.90061789,-528.6318241,Crosscourt,Forehand,,,,,,,,,,33.17149496936169,196.4626093612284,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
30-15,2-0,0-0,,545710,,,16,,7,Ad,Gianluca Ballotta,Far,,,,,,,,,,59.84437335954914,479.99981408549127,Down the Line,Forehand,,,,,,,,,,129.64656058610976,-266.901717,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
30-15,2-0,0-0,,547109,,,16,,8,Deuce,Gianluca Ballotta,Far,,,,,,,,,,140.7706583551329,-519.6607776,Crosscourt,Backhand,,,,,,,,,,-93.82009514,357.46938429552836,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Deep
30-15,2-0,0-0,,548380,,,16,,9,Deuce,Gianluca Ballotta,Far,,,,,,,,,,-141.2192203,557.7488845141476,Down the Line,Backhand,,,,,,,,,,-128.0802493,-328.1677165,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
30-15,2-0,0-0,,549880,,,16,,10,Ad,Gianluca Ballotta,Far,,,,,,,,,,-118.1935531,-493.6447616,Crosscourt,Forehand,,,,,,,,,,91.13882874,275.8592902448269,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
30-15,2-0,0-0,,551510,,,16,,11,Ad,Gianluca Ballotta,Far,,,,,,,,,,131.65010389319534,521.8646981624601,Down the Line,Forehand,,,,,,,,,,124.03044619416166,-356.0035105,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Deep
30-15,2-0,0-0,,552880,,,16,,12,Deuce,Gianluca Ballotta,Far,,,,,,,,,,116.39934383196086,-515.7733432,Crosscourt,Backhand,,,,,,,,,,-38.8604112,180.60252624662587,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
30-15,2-0,0-0,,554210,,,16,,13,Deuce,Gianluca Ballotta,Far,,,,,,,,,,-93.89695429,474.01911636021,Crosscourt,Backhand,1.0,,,,,,,,,90.37544291333914,-229.0235182,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
30-15,2-0,0-0,,555780,,,16,,14,Deuce,Gianluca Ballotta,Far,,,,,,,,,,106.45641951000624,-352.7993493,Down the Line,Backhand,1.0,,,,,,,,,8.091262029742103,302.0008147417513,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
30-15,2-0,0-0,,557380,,,16,,15,Deuce,Gianluca Ballotta,Far,,,,,,,,,,-4.560296369,490.7650699909975,Down the Line,Forehand,,,,,,,,,,-128.0688812,-335.3691273,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Gianluca Ballotta,,1.0,,,,,,Short
30-15,2-0,0-0,,558479,1.0,558479.0,16,,16,Ad,Gianluca Ballotta,Far,,,,,,,,,,-147.0504101,-510.988785,Crosscourt,Forehand,,,,,,,,,,43.64546697285584,753.2877679,,,,,1.0,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Ruining Huang,,,,Gianluca Ballotta,1,,,Long
40-15,2-0,0-0,1.0,587650,,,17,,1,Deuce,Gianluca Ballotta,Far,0.0,Body,61.00311679786875,24.35294181975997,1.0,Body,103.0160925196318,-161.708306,,-16.87678259,416.60441819751,,,,,,,,,,,,,,,,,1.0,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,2nd Serve In,Body,
40-15,2-0,0-0,,608650,,,17,,2,Deuce,Gianluca Ballotta,Far,,,,,,,,,,153.25536964121565,-490.056343,Down the Line,Backhand,,,,,,,,,,60.36145013120241,387.1258366139732,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Deep
40-15,2-0,0-0,,610159,,,17,,3,Ad,Gianluca Ballotta,Far,,,,,,,,,,40.48184055116019,488.97086067341314,Crosscourt,Forehand,,,,,,,,,,-74.37859799,-309.3887084,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
40-15,2-0,0-0,,611549,,,17,,4,Ad,Gianluca Ballotta,Far,,,,,,,,,,-105.8583497,-533.7154364,Down the Line,Forehand,,,,,,,,,,-92.83658136,390.2661143917494,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Deep
40-15,2-0,0-0,,613309,,,17,,5,Deuce,Gianluca Ballotta,Far,,,,,,,,,,-68.32946194,493.1573491,Crosscourt,Backhand,,,,,,,,,,108.36741032365356,-253.7737697,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
40-15,2-0,0-0,,614609,,,17,,6,Deuce,Gianluca Ballotta,Far,,,,,,,,,,152.3582841206562,-510.689731,Crosscourt,Backhand,,,,,,,,,,-131.201542,306.3428204285382,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,3,False,,Ruining Huang,Ruining Huang,,,,,,,,Short
40-15,2-0,0-0,,616049,,,17,,7,Deuce,Gianluca Ballotta,Far,,,,,,,,,,-191.8308891,522.4627679349882,Crosscourt,Backhand,,,,,,,,,,82.35346128604671,-286.2852636,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,3,False,,Ruining Huang,Gianluca Ballotta,,,,,,,,Short
