pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,1-0,0-0,,159880,,,6,,3,Deuce,Ruining Huang,Near,,,,,,,,,,67.35762248465461,-441.9117071,Crosscourt,Forehand,,,,,,,,,,-117.8123961,368.1444225719883,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,1.0,,,,,,,Deep
0-0,1-0,0-0,,161679,,,6,,4,Deuce,Ruining Huang,Near,,,,,,,,,,-141.5930282,546.9836286086413,Crosscourt,Backhand,,,,,,,,,,31.56051509184721,-233.4320483,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
0-0,1-0,0-0,,162869,,,6,,5,Deuce,Ruining Huang,Near,,,,,,,,,,78.79570209969683,-499.9244751,Crosscourt,Backhand,,,,,,,,,,-0.418897638,198.09219160094753,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
0-0,1-0,0-0,,164279,,,6,,6,Deuce,Ruining Huang,Near,,,,,,,,,,-32.29576772,465.64613954481626,Crosscourt,Forehand,,,,,,,,,,98.68886154850546,-363.9057251,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,,,,,Deep
0-0,1-0,0-0,,165750,,,6,,7,Deuce,Ruining Huang,Near,,,,,,,,,,117.7449912510328,-530.1270177,Down the Line,Backhand,,,,,,,,,,52.25633202097038,182.5423775152163,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
0-0,1-0,0-0,,167119,,,6,,8,Ad,Ruining Huang,Near,,,,,,,,,,30.05299650042192,472.82297681515377,Down the Line,Forehand,,,,,,,,,,149.72593503929275,-350.9665956,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Deep
0-0,1-0,0-0,,168570,,,6,,9,Deuce,Ruining Huang,Near,,,,,,,,,,164.3196795712187,-522.6511264,Crosscourt,Backhand,,,,,,,,,,-43.5319007,318.5084208222326,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
0-0,1-0,0-0,,169880,,,6,,10,Deuce,Ruining Huang,Near,,,,,,,,,,-63.05898403,445.31176727886,Down the Line,Forehand,,,,,,,,,,-75.41267498,-247.1849738,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,1.0,,,,,,Short
0-0,1-0,0-0,,171279,,,6,,11,Ad,Ruining Huang,Near,,,,,,,,,,-65.48865923,-481.6833661,Crosscourt,Forehand,,,,,,,,,,34.18731408572162,553.1410870513328,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Long
0-0,1-0,0-0,,172820,,,6,,12,Ad,Ruining Huang,Near,,,,,,,,,,52.33112423444366,507.5110236,Down the Line,Forehand,,,,,,,,,,98.20267388,-30.9379101,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
